,screenName,description,location,text
0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv"
1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Attorney General Merrick Garland will name a special counsel to determine whether former President Donald Trump should face charges related to Justice Department investigations https://t.co/TAXcHoLORt
2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,JUST IN: Democrat Adam Frisch concedes to Republican Lauren Boebert in close US House race in Colorado's 3rd District https://t.co/1ReowavRx9
3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Authorities in the Bahamas have taken control of cryptocurrency assets held by a unit of bankrupt exchange FTX https://t.co/BNPY8qdLMZ
4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R
5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"“It’s really difficult for me to trust an outside entity with these relationships and loyalties, and excruciating for me to just watch mistakes happen with no recourse.”

Taylor Swift has spoken out about the Ticketmaster debacle that took place this week. https://t.co/lPjW6mce6t"
6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,The Biden administration has asked the Supreme Court to allow its controversial student loan relief program to go into effect while legal challenges play out https://t.co/dIez2LfgLJ
7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"You could earn $30,000 by moving to this picturesque Italian town https://t.co/4izQMjAR0Q"
8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"President Joe Biden is turning 80 this weekend, but the big bash at the White House will be for an entirely different and more youthful occasion https://t.co/5lmgU6KRbv"
9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"The US has determined that Saudi Arabia’s Crown Prince, Mohammed bin Salman, should be granted immunity in the case of journalist Jamal Khashoggi, whom the administration has said was murdered at the prince’s direction. CNN’s @MarquardtA reports.

Watch: https://t.co/KsxsaveGZp"
10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Academy Award-winning screenwriter and director Quentin Tarantino tells CNN's Chris Wallace that he plans to quit after his next film, but isn't sure what that film will be yet https://t.co/pCpgnKE5Ts https://t.co/CC29XkNA16"
11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X"
