,screenName,description,location,following,followers,totaltweets,retweetcount,text,topic
0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,11,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",sports
1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,38,Attorney General Merrick Garland will name a special counsel to determine whether former President Donald Trump should face charges related to Justice Department investigations https://t.co/TAXcHoLORt,sports
2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,69,JUST IN: Democrat Adam Frisch concedes to Republican Lauren Boebert in close US House race in Colorado's 3rd District https://t.co/1ReowavRx9,sports
3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,17,Authorities in the Bahamas have taken control of cryptocurrency assets held by a unit of bankrupt exchange FTX https://t.co/BNPY8qdLMZ,sports
4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,20,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R,sports
5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,30,"“It’s really difficult for me to trust an outside entity with these relationships and loyalties, and excruciating for me to just watch mistakes happen with no recourse.”

Taylor Swift has spoken out about the Ticketmaster debacle that took place this week. https://t.co/lPjW6mce6t",sports
6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,34,The Biden administration has asked the Supreme Court to allow its controversial student loan relief program to go into effect while legal challenges play out https://t.co/dIez2LfgLJ,sports
7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,32,"You could earn $30,000 by moving to this picturesque Italian town https://t.co/4izQMjAR0Q",sports
8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,26,"President Joe Biden is turning 80 this weekend, but the big bash at the White House will be for an entirely different and more youthful occasion https://t.co/5lmgU6KRbv",sports
9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,51,"The US has determined that Saudi Arabia’s Crown Prince, Mohammed bin Salman, should be granted immunity in the case of journalist Jamal Khashoggi, whom the administration has said was murdered at the prince’s direction. CNN’s @MarquardtA reports.

Watch: https://t.co/KsxsaveGZp",sports
10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,34,"Academy Award-winning screenwriter and director Quentin Tarantino tells CNN's Chris Wallace that he plans to quit after his next film, but isn't sure what that film will be yet https://t.co/pCpgnKE5Ts https://t.co/CC29XkNA16",sports
11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,31,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X",sports
12,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,27,"The Jackson, Mississippi, city council has voted to approve a legal agreement with the Environmental Protection Agency which aims to find a long-term solution to the city’s water crisis https://t.co/pY1Hj1cTZ7",sports
13,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,37,"B. Smyth, an R&amp;B artist who found success with his songs “Win Win” and “Twerkaholic,” has died https://t.co/6A84hZzJYG",sports
14,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60554823,390185,49,"Former First Lady Michelle Obama says she opted to not wear her hair natural while the Obamas were in the White House. CNN contributor @CariChampion joins ""CNN This Morning"" to discuss.

Watch here: https://t.co/FSXAzNh08p",sports
