,screenName,description,location,text,Unnamed: 0,topic
0,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,‘Blue’s Clues’ host Steve Burbs talks struggle with 'severe clinical depression' while filming hit show https://t.co/caMpSrDipK,39.0,health
1,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Chris Hemsworth learns he’s ‘8 to 10 times’ more likely to get Alzheimer's disease on new show ‘Limitless’ https://t.co/ml6ROuSZzn,92.0,health
2,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,World-renowned plastic surgeon facing medical tribunal for sex with patients https://t.co/aKynFX4noc,96.0,health
3,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,21 states ask feds to repeal COVID vaccine mandate for health care workers https://t.co/TkofeA8RUW,158.0,health
4,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Chris Hemsworth learns he’s ‘8 to 10 times’ more likely to get Alzheimer's disease on new show ‘Limitless’ https://t.co/ResRNEtUni,225.0,health
5,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,World-renowned plastic surgeon facing medical tribunal for sex with patients https://t.co/Jw9ByuHAhw,240.0,health
6,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Researchers reveal potential game changing vaccine for fentanyl overdose https://t.co/QBpoSMiyxt,266.0,health
7,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Uganda is fearful of losing doctors amid Ebola outbreak https://t.co/7uyZrQ6lam,275.0,health
8,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Tennessee Sen. Marsha Blackburn renews call to protect troops from being fired over COVID-19 vaccine mandate https://t.co/ZbSZBmX9Xo,316.0,health
9,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Mass. health officials worked with Google to covertly install COVID ‘spyware’ into 1M phones, lawsuit claims

https://t.co/IlyAp3t3Jk",343.0,health
