,screenName,description,location,text,Unnamed: 0,topic
0,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Elon Musk triggers liberals with ultimatum to Twitter staff: 'Taking away their swingset and sandbox' https://t.co/WeIHmq4zfd,10.0,corporatenews
1,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Musk trolls AOC, liberal journalists who panicked over end of Twitter: ‘The best people are staying’ https://t.co/Tj3ltDf51U",20.0,corporatenews
2,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Twitter reportedly losing more staff members after Musk's 'hardcore' ultimatum https://t.co/KEtFhEMvUU,52.0,corporatenews
3,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Sen. Markey warns Elon Musk will 'pay a price' if new Twitter policies aren’t fixed https://t.co/MaC2aRmwmS,63.0,corporatenews
4,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Surge in Twitter fact-checks of progressive figures draws praise from Tech watchdogs https://t.co/AczUxhs5Ph,81.0,corporatenews
5,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Former Vox journalist mocked for claiming to be victim of 'stolen valor' in Twitter spat https://t.co/vfBScspO03,115.0,corporatenews
6,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Olympics 2024: Breakdancing to hit center stage in Paris as Red Bull BC One World Final revisits NYC roots https://t.co/wtq0PsI0gk,136.0,corporatenews
7,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Air Force, FBI reportedly raid home of Area 51 website owner: 'Completely unnecessary' https://t.co/C0lgRcYaJA",157.0,corporatenews
8,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Sen. Markey warns Elon Musk will 'pay a price' if new Twitter policies aren’t fixed https://t.co/6hJRB1eNel,180.0,corporatenews
9,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Air Force to end basic training 'BEAST Week' in favor of 36-hour field training https://t.co/t0Q5tfNMdc,289.0,corporatenews
10,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Chinese national sentenced to 20 years for trying to steal trade secrets from US aviation, aerospace companies https://t.co/swsVGmlUf5",312.0,corporatenews
11,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,AQUAMAN IN HOT WATER: The ad in USA Today claims his new company is putting profits over the planet. https://t.co/C5TkhHY5VD https://t.co/nGrV7cqJ0A,317.0,corporatenews
12,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Clinton-linked dark money group targets Twitter advertisers, Pelosi dethroned and more top headlines https://t.co/U5Q4THpQHb",327.0,corporatenews
13,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"FOX NEWS FIRST: Clinton-linked dark money group targets Twitter advertisers, Pelosi dethroned and more top headlines

https://t.co/jqjDEeBZ8h",334.0,corporatenews
14,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Justin Verlander joins elite company with third Cy Young Award, Sandy Alcantara takes NL honors https://t.co/vQysnxXRZX",447.0,corporatenews
15,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Dem senator frustrated over Yellen claiming 'no basis' to probe Elon Musk's Twitter purchase https://t.co/EJbhTACN0u,463.0,corporatenews
16,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Elon Musk reveals Twitter CEO plan

https://t.co/wxde5DKdBU",467.0,corporatenews
17,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Ellen Greenberg 'suicide': Pennsylvania court hears arguments in family's bid to overrule medical examiner https://t.co/2YxfHbOPt0,488.0,corporatenews
18,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"BREAKING NEWS: Amazon confirms layoffs have started as final number could reach 10,000: reports

https://t.co/fkF8qZ7RW0",547.0,corporatenews
19,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Max Verstappen's mom fires off cheating accusation at son's Red Bull teammate Sergio Perez after Brazil drama https://t.co/atTXLkF1ye,599.0,corporatenews
20,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Twitter skewers vandals who threw black paint on famous painting in Austria: ‘Jail isn’t enough’ https://t.co/v02cTe6PAB,606.0,corporatenews
21,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Virginia man released from custody after allegedly shooting and killing neighbor's dog https://t.co/lQFr48rJ3X,607.0,corporatenews
