,Unnamed: 0.1,screenName,description,location,text,Unnamed: 0,topic,topicEncoded,tokenized_sentences,clean_text
0,0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,another employee exodus appears underway twitter many workers rejected elon musks terms for staying with the company httpstcosyynlvon httpstcoenalyjcp,31.0,corporatenews,0,"['anoth', 'employe', 'exodu', 'appear', 'underway', 'twitter', 'mani', 'worker', 'reject', 'elon', 'musk', 'term', 'stay', 'compani', 'httpstcosyynlvon', 'httpstcoenalyjcp']",anoth employe exodu appear underway twitter mani worker reject elon musk term stay compani httpstcosyynlvon httpstcoenalyjcp
1,1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"amazon ceo andy jassy said job cuts the e-commerce giant would continue into early next year, his first public remarks since the company began widespread layoffs httpstcocllrrqf httpstcomnkwaim",36.0,corporatenews,0,"['amazon', 'ceo', 'andi', 'jassi', 'said', 'job', 'cut', 'e-commerc', 'giant', 'would', 'continu', 'earli', 'next', 'year', ',', 'first', 'public', 'remark', 'sinc', 'compani', 'began', 'widespread', 'layoff', 'httpstcocllrrqf', 'httpstcomnkwaim']","amazon ceo andi jassi said job cut e-commerc giant would continu earli next year , first public remark sinc compani began widespread layoff httpstcocllrrqf httpstcomnkwaim"
2,2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,max verstappen and red bull have hit out online threats and abuse leveled the world champion and his family after ignored team orders last weekends so paulo grand prix httpstcopkzowzbz,37.0,corporatenews,0,"['max', 'verstappen', 'red', 'bull', 'hit', 'onlin', 'threat', 'abus', 'level', 'world', 'champion', 'famili', 'ignor', 'team', 'order', 'last', 'weekend', 'paulo', 'grand', 'prix', 'httpstcopkzowzbz']",max verstappen red bull hit onlin threat abus level world champion famili ignor team order last weekend paulo grand prix httpstcopkzowzbz
3,3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,here are things you need know today new york snowstorm twitter employee exodus student debt relief end era for nancy pelosi north korea fires icbm httpstcoosiabfhc,45.0,corporatenews,0,"['thing', 'need', 'know', 'today', 'new', 'york', 'snowstorm', 'twitter', 'employe', 'exodu', 'student', 'debt', 'relief', 'end', 'era', 'nanci', 'pelosi', 'north', 'korea', 'fire', 'icbm', 'httpstcoosiabfhc']",thing need know today new york snowstorm twitter employe exodu student debt relief end era nanci pelosi north korea fire icbm httpstcoosiabfhc
4,4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,riptwitter was the top trend worldwide thursday evening with users writing what they feared might their last posts httpstcoqxigojhb httpstcoktvhbsasv,53.0,corporatenews,0,"['riptwitt', 'top', 'trend', 'worldwid', 'thursday', 'even', 'user', 'write', 'fear', 'might', 'last', 'post', 'httpstcoqxigojhb', 'httpstcoktvhbsasv']",riptwitt top trend worldwid thursday even user write fear might last post httpstcoqxigojhb httpstcoktvhbsasv
5,5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"ftxs new ceo, john ray iii, has written court filing never career have seen such complete failure corporate controls and such complete absence trustworthy financial information occurred here httpstcopwalhabd httpstcoqjueyodo",54.0,corporatenews,0,"['ftx', 'new', 'ceo', ',', 'john', 'ray', 'iii', ',', 'written', 'court', 'file', 'never', 'career', 'seen', 'complet', 'failur', 'corpor', 'control', 'complet', 'absenc', 'trustworthi', 'financi', 'inform', 'occur', 'httpstcopwalhabd', 'httpstcoqjueyodo']","ftx new ceo , john ray iii , written court file never career seen complet failur corpor control complet absenc trustworthi financi inform occur httpstcopwalhabd httpstcoqjueyodo"
6,6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,death the air twitter httpstcoabljalka,57.0,corporatenews,0,"['death', 'air', 'twitter', 'httpstcoabljalka']",death air twitter httpstcoabljalka
7,7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,the hot new baby clothes color  beige baby gap and walmart now have beige baby clothes section httpstcoozcwbkm,62.0,corporatenews,0,"['hot', 'new', 'babi', 'cloth', 'color', 'beig', 'babi', 'gap', 'walmart', 'beig', 'babi', 'cloth', 'section', 'httpstcoozcwbkm']",hot new babi cloth color beig babi gap walmart beig babi cloth section httpstcoozcwbkm
8,8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,airbnb ceo brian chesky whos now renting out room his own house airbnb talks about new changes the platform httpstcokiplkqda,65.0,corporatenews,0,"['airbnb', 'ceo', 'brian', 'cheski', 'who', 'rent', 'room', 'hous', 'airbnb', 'talk', 'new', 'chang', 'platform', 'httpstcokiplkqda']",airbnb ceo brian cheski who rent room hous airbnb talk new chang platform httpstcokiplkqda
9,9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"disney world increasing ticket prices for the second time year but youre planning going , you can still buy next years tickets current rates until december httpstcoevjjaftyg httpstcouscqirhjg",67.0,corporatenews,0,"['disney', 'world', 'increas', 'ticket', 'price', 'second', 'time', 'year', 'your', 'plan', 'go', ',', 'still', 'buy', 'next', 'year', 'ticket', 'current', 'rate', 'decemb', 'httpstcoevjjaftyg', 'httpstcouscqirhjg']","disney world increas ticket price second time year your plan go , still buy next year ticket current rate decemb httpstcoevjjaftyg httpstcouscqirhjg"
10,10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"another employee exodus appears underway twitter many workers rejected elon musks terms for staying with the company, choosing instead depart, according multiple current and former employees httpstcoahzklqgep httpstcomozuhgiern",72.0,corporatenews,0,"['anoth', 'employe', 'exodu', 'appear', 'underway', 'twitter', 'mani', 'worker', 'reject', 'elon', 'musk', 'term', 'stay', 'compani', ',', 'choos', 'instead', 'depart', ',', 'accord', 'multipl', 'current', 'former', 'employe', 'httpstcoahzklqgep', 'httpstcomozuhgiern']","anoth employe exodu appear underway twitter mani worker reject elon musk term stay compani , choos instead depart , accord multipl current former employe httpstcoahzklqgep httpstcomozuhgiern"
11,11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"amazons ceo said job cuts the e-commerce giant would continue into early next year, his first public remarks since the company began widespread layoffs this week httpstcozjlqirpt",91.0,corporatenews,0,"['amazon', 'ceo', 'said', 'job', 'cut', 'e-commerc', 'giant', 'would', 'continu', 'earli', 'next', 'year', ',', 'first', 'public', 'remark', 'sinc', 'compani', 'began', 'widespread', 'layoff', 'week', 'httpstcozjlqirpt']","amazon ceo said job cut e-commerc giant would continu earli next year , first public remark sinc compani began widespread layoff week httpstcozjlqirpt"
12,12,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"another employee exodus appears underway twitter many workers rejected elon musks ultimatum work extremely hardcore, according multiple current and former employees httpstcosoodlpyyk",95.0,corporatenews,0,"['anoth', 'employe', 'exodu', 'appear', 'underway', 'twitter', 'mani', 'worker', 'reject', 'elon', 'musk', 'ultimatum', 'work', 'extrem', 'hardcor', ',', 'accord', 'multipl', 'current', 'former', 'employe', 'httpstcosoodlpyyk']","anoth employe exodu appear underway twitter mani worker reject elon musk ultimatum work extrem hardcor , accord multipl current former employe httpstcosoodlpyyk"
13,13,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"the tesla board directors that created the largest compensation package history for ceo elon musk was stocked with friends musk, according court testimony httpstcocpvntp",96.0,corporatenews,0,"['tesla', 'board', 'director', 'creat', 'largest', 'compens', 'packag', 'histori', 'ceo', 'elon', 'musk', 'stock', 'friend', 'musk', ',', 'accord', 'court', 'testimoni', 'httpstcocpvntp']","tesla board director creat largest compens packag histori ceo elon musk stock friend musk , accord court testimoni httpstcocpvntp"
14,14,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,nba superstar luka doncic says prefers chess twitter just play chess phone httpstcogkquvqbz,98.0,corporatenews,0,"['nba', 'superstar', 'luka', 'doncic', 'say', 'prefer', 'chess', 'twitter', 'play', 'chess', 'phone', 'httpstcogkquvqbz']",nba superstar luka doncic say prefer chess twitter play chess phone httpstcogkquvqbz
15,15,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,he bad apple crypto critic bennetttomlin tells jonsarlin that former ftx ceo sam bankman-frieds past actions appear calculated plan benefit himself watch more nightcap httpstcoauzbjxhvo httpstcoxhcncde,106.0,corporatenews,0,"['bad', 'appl', 'crypto', 'critic', 'bennetttomlin', 'tell', 'jonsarlin', 'former', 'ftx', 'ceo', 'sam', 'bankman-fri', 'past', 'action', 'appear', 'calcul', 'plan', 'benefit', 'watch', 'nightcap', 'httpstcoauzbjxhvo', 'httpstcoxhcncd']",bad appl crypto critic bennetttomlin tell jonsarlin former ftx ceo sam bankman-fri past action appear calcul plan benefit watch nightcap httpstcoauzbjxhvo httpstcoxhcncd
16,16,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"sen amy klobuchar criticized ticketmaster open letter its ceo, saying she has serious concerns about the companys operations following service meltdown that left taylor swift fans irate httpstcowkwrslea httpstcokzjmnjck",133.0,corporatenews,0,"['sen', 'ami', 'klobuchar', 'critic', 'ticketmast', 'open', 'letter', 'ceo', ',', 'say', 'seriou', 'concern', 'compani', 'oper', 'follow', 'servic', 'meltdown', 'left', 'taylor', 'swift', 'fan', 'irat', 'httpstcowkwrslea', 'httpstcokzjmnjck']","sen ami klobuchar critic ticketmast open letter ceo , say seriou concern compani oper follow servic meltdown left taylor swift fan irat httpstcowkwrslea httpstcokzjmnjck"
17,17,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"elon musk has been saying for months that wants stamp out spam and fake accounts twitter, but subtle change hes planning make the platform could complicate that goal httpstcoaoohljawm",137.0,corporatenews,0,"['elon', 'musk', 'say', 'month', 'want', 'stamp', 'spam', 'fake', 'account', 'twitter', ',', 'subtl', 'chang', 'he', 'plan', 'make', 'platform', 'could', 'complic', 'goal', 'httpstcoaoohljawm']","elon musk say month want stamp spam fake account twitter , subtl chang he plan make platform could complic goal httpstcoaoohljawm"
18,18,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,the hot new baby clothes color  beige baby gap and walmart now have beige baby clothes section httpstcoxgzxfsxk,139.0,corporatenews,0,"['hot', 'new', 'babi', 'cloth', 'color', 'beig', 'babi', 'gap', 'walmart', 'beig', 'babi', 'cloth', 'section', 'httpstcoxgzxfsxk']",hot new babi cloth color beig babi gap walmart beig babi cloth section httpstcoxgzxfsxk
19,19,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,airbnb ceo brian chesky whos now renting out room his own house airbnb talks about new changes the platform httpstcoeamujtbebz,145.0,corporatenews,0,"['airbnb', 'ceo', 'brian', 'cheski', 'who', 'rent', 'room', 'hous', 'airbnb', 'talk', 'new', 'chang', 'platform', 'httpstcoeamujtbebz']",airbnb ceo brian cheski who rent room hous airbnb talk new chang platform httpstcoeamujtbebz
20,20,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"brian chesky, the ceo airbnb tells cnnthismorning why putting room his home for rent watch here httpstcojquclwejto",146.0,corporatenews,0,"['brian', 'cheski', ',', 'ceo', 'airbnb', 'tell', 'cnnthismorn', 'put', 'room', 'home', 'rent', 'watch', 'httpstcojquclwejto']","brian cheski , ceo airbnb tell cnnthismorn put room home rent watch httpstcojquclwejto"
21,21,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"senator amy klobuchar criticized ticketmaster open letter its ceo, saying she has serious concerns about the companys operations following service meltdown that left taylor swift fans irate httpstcokmjdkexfk",147.0,corporatenews,0,"['senat', 'ami', 'klobuchar', 'critic', 'ticketmast', 'open', 'letter', 'ceo', ',', 'say', 'seriou', 'concern', 'compani', 'oper', 'follow', 'servic', 'meltdown', 'left', 'taylor', 'swift', 'fan', 'irat', 'httpstcokmjdkexfk']","senat ami klobuchar critic ticketmast open letter ceo , say seriou concern compani oper follow servic meltdown left taylor swift fan irat httpstcokmjdkexfk"
22,22,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"disney world increasing ticket prices for the second time year but youre planning going , you can still buy next years tickets current rates until december httpstcossbmuen httpstcoleummugis",148.0,corporatenews,0,"['disney', 'world', 'increas', 'ticket', 'price', 'second', 'time', 'year', 'your', 'plan', 'go', ',', 'still', 'buy', 'next', 'year', 'ticket', 'current', 'rate', 'decemb', 'httpstcossbmuen', 'httpstcoleummugi']","disney world increas ticket price second time year your plan go , still buy next year ticket current rate decemb httpstcossbmuen httpstcoleummugi"
23,23,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"thanksgiving dinner will cost about  more this year but theres some good news stores like lidl, aldi, and walmart are offering big deals httpstcozffebfxq httpstcohqguqjyrv",158.0,corporatenews,0,"['thanksgiv', 'dinner', 'cost', 'year', 'there', 'good', 'news', 'store', 'like', 'lidl', ',', 'aldi', ',', 'walmart', 'offer', 'big', 'deal', 'httpstcozffebfxq', 'httpstcohqguqjyrv']","thanksgiv dinner cost year there good news store like lidl , aldi , walmart offer big deal httpstcozffebfxq httpstcohqguqjyrv"
24,24,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,elon musk has given employees until tonight commit extremely hardcore work else leave the company httpstcolepvtis httpstcooiudkhd,168.0,corporatenews,0,"['elon', 'musk', 'given', 'employe', 'tonight', 'commit', 'extrem', 'hardcor', 'work', 'el', 'leav', 'compani', 'httpstcolepvti', 'httpstcooiudkhd']",elon musk given employe tonight commit extrem hardcor work el leav compani httpstcolepvti httpstcooiudkhd
