,Unnamed: 0.1,screenName,description,location,text,Unnamed: 0,topic,topicEncoded,tokenized_sentences,clean_text
0,0,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"italy court rejects googles appeal against watchdog fine, accepts apples one httpstcoiamirnzv httpstcocfnfjavmq",0.0,corporatenews,0,"['itali', 'court', 'reject', 'googl', 'appeal', 'watchdog', 'fine', ',', 'accept', 'appl', 'one', 'httpstcoiamirnzv', 'httpstcocfnfjavmq']","itali court reject googl appeal watchdog fine , accept appl one httpstcoiamirnzv httpstcocfnfjavmq"
1,1,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,jaguar land rover turns laid-off tech workers for skills httpstcoourqjny httpstcomruruonqq,4.0,corporatenews,0,"['jaguar', 'land', 'rover', 'turn', 'laid-off', 'tech', 'worker', 'skill', 'httpstcoourqjni', 'httpstcomruruonqq']",jaguar land rover turn laid-off tech worker skill httpstcoourqjni httpstcomruruonqq
2,2,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,indian food delivery firm zomatos co-founder resigns httpstcomtxklqoic httpstcopnsiphcey,12.0,corporatenews,0,"['indian', 'food', 'deliveri', 'firm', 'zomato', 'co-found', 'resign', 'httpstcomtxklqoic', 'httpstcopnsiphcey']",indian food deliveri firm zomato co-found resign httpstcomtxklqoic httpstcopnsiphcey
3,3,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"companies are setting minimum prices their goods maintain profits, resulting shoppers getting fewer discounts for everyday purchases, retailers look unload hundreds billions dollars excess inventory httpstcotfmfgjmmx httpstcoxxcunxtrqa",16.0,corporatenews,0,"['compani', 'set', 'minimum', 'price', 'good', 'maintain', 'profit', ',', 'result', 'shopper', 'get', 'fewer', 'discount', 'everyday', 'purchas', ',', 'retail', 'look', 'unload', 'hundr', 'billion', 'dollar', 'excess', 'inventori', 'httpstcotfmfgjmmx', 'httpstcoxxcunxtrqa']","compani set minimum price good maintain profit , result shopper get fewer discount everyday purchas , retail look unload hundr billion dollar excess inventori httpstcotfmfgjmmx httpstcoxxcunxtrqa"
4,4,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"twitter has reinstated the accounts us comedian kathy griffin and academic jordan peterson, elon musk said, adding that decision bring back former us president donald trumps account yet made httpstcomieixdpn httpstcoouopes",17.0,corporatenews,0,"['twitter', 'reinstat', 'account', 'u', 'comedian', 'kathi', 'griffin', 'academ', 'jordan', 'peterson', ',', 'elon', 'musk', 'said', ',', 'ad', 'decis', 'bring', 'back', 'former', 'u', 'presid', 'donald', 'trump', 'account', 'yet', 'made', 'httpstcomieixdpn', 'httpstcoouop']","twitter reinstat account u comedian kathi griffin academ jordan peterson , elon musk said , ad decis bring back former u presid donald trump account yet made httpstcomieixdpn httpstcoouop"
5,5,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"archer aviation, california-based company, has unveiled its full-sized electric air taxi named midnight httpstcogeuevvbs",51.0,corporatenews,0,"['archer', 'aviat', ',', 'california-bas', 'compani', ',', 'unveil', 'full-siz', 'electr', 'air', 'taxi', 'name', 'midnight', 'httpstcogeuevvb']","archer aviat , california-bas compani , unveil full-siz electr air taxi name midnight httpstcogeuevvb"
6,6,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"tesla recalls , model cars, shares hit two-year low httpstcowdhhjaz httpstcoiaedbvu",58.0,corporatenews,0,"['tesla', 'recal', ',', 'model', 'car', ',', 'share', 'hit', 'two-year', 'low', 'httpstcowdhhjaz', 'httpstcoiaedbvu']","tesla recal , model car , share hit two-year low httpstcowdhhjaz httpstcoiaedbvu"
7,7,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,elon musk asks twitter engineers fly for in-person meetings -email httpstcobjkcksc httpstcotvyucooxx,61.0,corporatenews,0,"['elon', 'musk', 'ask', 'twitter', 'engin', 'fli', 'in-person', 'meet', '-email', 'httpstcobjkcksc', 'httpstcotvyucooxx']",elon musk ask twitter engin fli in-person meet -email httpstcobjkcksc httpstcotvyucooxx
8,8,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"italy court rejects googles appeal against watchdog fine, accepts apples one httpstcoyjvtiun httpstcojrdoiiu",68.0,corporatenews,0,"['itali', 'court', 'reject', 'googl', 'appeal', 'watchdog', 'fine', ',', 'accept', 'appl', 'one', 'httpstcoyjvtiun', 'httpstcojrdoiiu']","itali court reject googl appeal watchdog fine , accept appl one httpstcoyjvtiun httpstcojrdoiiu"
9,9,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"reuterslegal twitter has had bumpy ride since new owner elon musk took charge last month the chief executive twitter, who als",71.0,corporatenews,0,"['reutersleg', 'twitter', 'bumpi', 'ride', 'sinc', 'new', 'owner', 'elon', 'musk', 'took', 'charg', 'last', 'month', 'chief', 'execut', 'twitter', ',', 'al']","reutersleg twitter bumpi ride sinc new owner elon musk took charg last month chief execut twitter , al"
10,10,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,jaguar land rover turns laid-off tech workers for skills httpstcosuditpv httpstcopgjdyrammu,74.0,corporatenews,0,"['jaguar', 'land', 'rover', 'turn', 'laid-off', 'tech', 'worker', 'skill', 'httpstcosuditpv', 'httpstcopgjdyrammu']",jaguar land rover turn laid-off tech worker skill httpstcosuditpv httpstcopgjdyrammu
11,11,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"biden meet with ford ceo, uaw friday economy httpstcofqstzqhl httpstcodwutefrti",83.0,corporatenews,0,"['biden', 'meet', 'ford', 'ceo', ',', 'uaw', 'friday', 'economi', 'httpstcofqstzqhl', 'httpstcodwutefrti']","biden meet ford ceo , uaw friday economi httpstcofqstzqhl httpstcodwutefrti"
12,12,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,indian food delivery firm zomatos co-founder resigns httpstcoqexvfbmrp httpstconrcfmccfx,92.0,corporatenews,0,"['indian', 'food', 'deliveri', 'firm', 'zomato', 'co-found', 'resign', 'httpstcoqexvfbmrp', 'httpstconrcfmccfx']",indian food deliveri firm zomato co-found resign httpstcoqexvfbmrp httpstconrcfmccfx
13,13,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"australian soap opera neighbours will return the screen after deal with amazon revived the show that launched the career stars such margot robbie, kylie minogue and all three hemsworth brothers httpstcoufsiskagx httpstcorwcmrkaf",103.0,corporatenews,0,"['australian', 'soap', 'opera', 'neighbour', 'return', 'screen', 'deal', 'amazon', 'reviv', 'show', 'launch', 'career', 'star', 'margot', 'robbi', ',', 'kyli', 'minogu', 'three', 'hemsworth', 'brother', 'httpstcoufsiskagx', 'httpstcorwcmrkaf']","australian soap opera neighbour return screen deal amazon reviv show launch career star margot robbi , kyli minogu three hemsworth brother httpstcoufsiskagx httpstcorwcmrkaf"
14,14,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"tesla recalls about , model cars over air bag issue httpstcosfwofad httpstcovexqxrscr",130.0,corporatenews,0,"['tesla', 'recal', ',', 'model', 'car', 'air', 'bag', 'issu', 'httpstcosfwofad', 'httpstcovexqxrscr']","tesla recal , model car air bag issu httpstcosfwofad httpstcovexqxrscr"
15,15,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,ethiopia has reactivated the sale stake its state-owned telecoms company while south africas eskom has warned power cuts over the next year these are the top five business stories from africa this week httpstcobkfoajyxnj,137.0,corporatenews,0,"['ethiopia', 'reactiv', 'sale', 'stake', 'state-own', 'telecom', 'compani', 'south', 'africa', 'eskom', 'warn', 'power', 'cut', 'next', 'year', 'top', 'five', 'busi', 'stori', 'africa', 'week', 'httpstcobkfoajyxnj']",ethiopia reactiv sale stake state-own telecom compani south africa eskom warn power cut next year top five busi stori africa week httpstcobkfoajyxnj
16,16,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"factbox twitter  musk warns bankruptcy, flip-flops blue check mark chaotic start httpstcoekvcak httpstcoixpxxjpb",142.0,corporatenews,0,"['factbox', 'twitter', 'musk', 'warn', 'bankruptci', ',', 'flip-flop', 'blue', 'check', 'mark', 'chaotic', 'start', 'httpstcoekvcak', 'httpstcoixpxxjpb']","factbox twitter musk warn bankruptci , flip-flop blue check mark chaotic start httpstcoekvcak httpstcoixpxxjpb"
17,17,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,factbox advertisers react twitters new ownership httpstcoqfnvbplxew httpstcovqkdezeokq,156.0,corporatenews,0,"['factbox', 'advertis', 'react', 'twitter', 'new', 'ownership', 'httpstcoqfnvbplxew', 'httpstcovqkdezeokq']",factbox advertis react twitter new ownership httpstcoqfnvbplxew httpstcovqkdezeokq
18,18,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"ftxs new ceo john ray said court filing that the lapses oversight, security and corporate governance identified the company were greater than any other process has managed his years bankruptcy specialist httpstcokoqpyfge httpstcoqzzxt",163.0,corporatenews,0,"['ftx', 'new', 'ceo', 'john', 'ray', 'said', 'court', 'file', 'lap', 'oversight', ',', 'secur', 'corpor', 'govern', 'identifi', 'compani', 'greater', 'process', 'manag', 'year', 'bankruptci', 'specialist', 'httpstcokoqpyfg', 'httpstcoqzzxt']","ftx new ceo john ray said court file lap oversight , secur corpor govern identifi compani greater process manag year bankruptci specialist httpstcokoqpyfg httpstcoqzzxt"
19,19,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"from deepening mystery ftx new exodus twitter, round the big stories business and finance over the week httpstcolfszynmht",165.0,corporatenews,0,"['deepen', 'mysteri', 'ftx', 'new', 'exodu', 'twitter', ',', 'round', 'big', 'stori', 'busi', 'financ', 'week', 'httpstcolfszynmht']","deepen mysteri ftx new exodu twitter , round big stori busi financ week httpstcolfszynmht"
20,20,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"australian soap opera neighbours, which launched the career stars like margot robbie, kylie minogue and all three hemsworth brothers, returns screen after deal with amazon httpstcoufsiskrhyv httpstcowqmrjdj",184.0,corporatenews,0,"['australian', 'soap', 'opera', 'neighbour', ',', 'launch', 'career', 'star', 'like', 'margot', 'robbi', ',', 'kyli', 'minogu', 'three', 'hemsworth', 'brother', ',', 'return', 'screen', 'deal', 'amazon', 'httpstcoufsiskrhyv', 'httpstcowqmrjdj']","australian soap opera neighbour , launch career star like margot robbi , kyli minogu three hemsworth brother , return screen deal amazon httpstcoufsiskrhyv httpstcowqmrjdj"
21,21,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"factbox twitter  musk warns bankruptcy, flip-flops blue check mark chaotic start httpstcohpeemntxtv httpstcoypmkjag",198.0,corporatenews,0,"['factbox', 'twitter', 'musk', 'warn', 'bankruptci', ',', 'flip-flop', 'blue', 'check', 'mark', 'chaotic', 'start', 'httpstcohpeemntxtv', 'httpstcoypmkjag']","factbox twitter musk warn bankruptci , flip-flop blue check mark chaotic start httpstcohpeemntxtv httpstcoypmkjag"
22,22,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,sources say twitter has closed its offices and cut staff access until monday the news comes hundreds employees leave the company following ultimatum from new ceo elon musk httpstcorxcstdip httpstcokpsbqtgjdz,220.0,corporatenews,0,"['sourc', 'say', 'twitter', 'close', 'offic', 'cut', 'staff', 'access', 'monday', 'news', 'come', 'hundr', 'employe', 'leav', 'compani', 'follow', 'ultimatum', 'new', 'ceo', 'elon', 'musk', 'httpstcorxcstdip', 'httpstcokpsbqtgjdz']",sourc say twitter close offic cut staff access monday news come hundr employe leav compani follow ultimatum new ceo elon musk httpstcorxcstdip httpstcokpsbqtgjdz
23,23,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"researchers described remains discovered northeastern spain turtle named leviathanochelys aenigmatica that was about feet long, weighed bit under two tons and lived during the cretaceous period, the final chapter the age dinosaurs httpstcodkhgcnrb httpstcookvklhq",236.0,corporatenews,0,"['research', 'describ', 'remain', 'discov', 'northeastern', 'spain', 'turtl', 'name', 'leviathanoch', 'aenigmatica', 'foot', 'long', ',', 'weigh', 'bit', 'two', 'ton', 'live', 'cretac', 'period', ',', 'final', 'chapter', 'age', 'dinosaur', 'httpstcodkhgcnrb', 'httpstcookvklhq']","research describ remain discov northeastern spain turtl name leviathanoch aenigmatica foot long , weigh bit two ton live cretac period , final chapter age dinosaur httpstcodkhgcnrb httpstcookvklhq"
24,24,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"with tech stocks being many amateur investors portfolio favorites, investing tech companies still risk-worthy todays volatile market discover more now httpstcovrjzffvahm httpstcolzdfwamun",278.0,corporatenews,0,"['tech', 'stock', 'mani', 'amateur', 'investor', 'portfolio', 'favorit', ',', 'invest', 'tech', 'compani', 'still', 'risk-worthi', 'today', 'volatil', 'market', 'discov', 'httpstcovrjzffvahm', 'httpstcolzdfwamun']","tech stock mani amateur investor portfolio favorit , invest tech compani still risk-worthi today volatil market discov httpstcovrjzffvahm httpstcolzdfwamun"
25,25,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"hundreds twitter employees are estimated leaving the beleaguered social media company following ultimatum from new owner elon musk that staffers sign for long hours high intensity, leave httpstcorxcstdip httpstcofivjzqeeu",292.0,corporatenews,0,"['hundr', 'twitter', 'employe', 'estim', 'leav', 'beleagu', 'social', 'medium', 'compani', 'follow', 'ultimatum', 'new', 'owner', 'elon', 'musk', 'staffer', 'sign', 'long', 'hour', 'high', 'intens', ',', 'leav', 'httpstcorxcstdip', 'httpstcofivjzqeeu']","hundr twitter employe estim leav beleagu social medium compani follow ultimatum new owner elon musk staffer sign long hour high intens , leav httpstcorxcstdip httpstcofivjzqeeu"
26,26,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"after elon musks ultimatum, twitter employees start exiting httpstcoabbdans httpstcoynsppjtlfy",295.0,corporatenews,0,"['elon', 'musk', 'ultimatum', ',', 'twitter', 'employe', 'start', 'exit', 'httpstcoabbdan', 'httpstcoynsppjtlfi']","elon musk ultimatum , twitter employe start exit httpstcoabbdan httpstcoynsppjtlfi"
