,screenName,description,location,text,Unnamed: 0
0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",7.0
1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",7.0
2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",7.0
3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",7.0
4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R,11.0
5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R,11.0
6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X",18.0
7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X",18.0
8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",32.0
9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",32.0
10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",32.0
11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Max Verstappen and Red Bull have hit out at online threats and abuse leveled at the world champion and his family after he ignored team orders at last weekend’s São Paulo Grand Prix https://t.co/P34KzOWzbZ,37.0
12,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,The announcement is expected just two days before the World Cup kicks off https://t.co/FlvzvyzHeT,52.0
13,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"NBA superstar Luka Doncic says he prefers chess to Twitter: ""I just play chess on my phone"" https://t.co/GKQ60uVqbZ",98.0
14,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"WNBA star Brittney Griner has been moved to a Russian penal colony to serve her sentence, her lawyers say, ending days of speculation over her whereabouts. https://t.co/HDNOC7xYWh",107.0
15,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Porsche just turned its iconic 911 sports car into a jacked-up, off-road beast. It says the new 911 Dakar can handle extreme conditions like snow, sand and gravel. https://t.co/wvVYh9g3ri https://t.co/EE7dfuINxw",111.0
16,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"""Our dreams never came true."" 

 He planned on watching the World Cup from the rooftop of the hotel he helped build. But he is back in Nepal struggling to feed his children. https://t.co/cRZZglLhIk",151.0
17,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/iY9JosZ5MZ",177.0
18,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/iY9JosZ5MZ",177.0
19,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/iY9JosZ5MZ",177.0
20,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/3a4ar71miP",217.0
21,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/3a4ar71miP",217.0
22,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"HBO Max is releasing a four-part documentary about NBA legend Shaquille O'Neal, which ""tells the story of a basketball legend unlike any other."" https://t.co/3a4ar71miP",217.0
23,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In an exclusive CNN interview, former University of Kentucky star Isaac Humphries becomes the world's only openly gay top-flight basketball player https://t.co/59Fu0QvGf1",222.0
24,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Manchester United forward Cristiano Ronaldo says he keeps his son’s ashes with him at his home and describes his death as the “worst” moment of his life https://t.co/QvZ67F4p0U,240.0
25,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Manchester United forward Cristiano Ronaldo says he keeps his son’s ashes with him at his home and describes his death as the “worst” moment of his life https://t.co/7XcaDe2411,294.0
26,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",347.0
27,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",347.0
28,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",347.0
29,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Lionel Messi and Cristiano Ronaldo have broken all the records, but as both prepare for what is likely their final World Cup, can either win soccer’s biggest prize? See how the star players match up. https://t.co/XaBxvCvTSv",347.0
30,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R,351.0
31,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Soccer fans at the World Cup have just one “beer” choice — albeit one that isn’t boozy https://t.co/zkTOj0PT9R,351.0
32,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X",358.0
33,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"In the interview, Ronaldo said he felt betrayed by the Premier League club, stated his lack of respect for manager Erik ten Hag, and cast doubt on whether he would return to the team https://t.co/K8Y0FCv51X",358.0
34,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",372.0
35,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",372.0
36,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Just two days before the World Cup kicks off in Qatar, soccer’s world governing body FIFA confirmed that no alcohol will be sold at the eight stadiums which will host the tournament’s 64 matches https://t.co/AIca7xDzKO https://t.co/DrxS6mR4re",372.0
37,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Max Verstappen and Red Bull have hit out at online threats and abuse leveled at the world champion and his family after he ignored team orders at last weekend’s São Paulo Grand Prix https://t.co/P34KzOWzbZ,377.0
38,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,The announcement is expected just two days before the World Cup kicks off https://t.co/FlvzvyzHeT,392.0
39,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"NBA superstar Luka Doncic says he prefers chess to Twitter: ""I just play chess on my phone"" https://t.co/GKQ60uVqbZ",438.0
