,screenName,description,location,following,followers,totaltweets,retweetcount,text,topic
0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,57,"In an exclusive CNN interview, former University of Kentucky star Isaac Humphries becomes the world's only openly gay top-flight basketball player https://t.co/59Fu0QvGf1",sports
1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,40,"A NASA scientist and her friend, who summited Mount Everest at the age of 13, have joined forces to help Indian girls go to school. https://t.co/Y3C4rqdaf7 https://t.co/jY7Kt9qta4",sports
2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,38,Tom Brady and the Tampa Bay Buccaneers beat the Seattle Seahawks 21-16 at the Allianz Arena in Germany during what was the NFL's first regular season game in the country https://t.co/oola4kDvPC https://t.co/Yp7l8Q3hOB,sports
3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,50,"American MMA fighter Anthony ""Rumble"" Johnson has died at the age of 38 from an undisclosed illness, according to Bellator MMA. https://t.co/W1fWGspB2r",sports
4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,12,"""It felt electric from the time we took the field.""

Tom Brady and the Tampa Bay Buccaneers beat the Seattle Seahawks at the Allianz Arena in Germany during the NFL’s first regular season game in the country. CNN’s Fred Pleitgen has the report.

Watch: https://t.co/vELUsqM2jm",sports
5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,59,"At least 16 junior varsity hockey players from Illinois were injured in Warsaw, Indiana after an allegedly intoxicated semi-truck driver swerved into the team’s bus, knocking it onto its side. https://t.co/zr1j3qKLQG",sports
6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,41,Tom Brady has become the first quarterback to win an NFL game in three different countries outside of the US. https://t.co/abSLkVqlqG,sports
7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,46,"A NASA scientist and her friend, who summited Mount Everest at the age of 13, have joined forces to help Indian girls go to school. https://t.co/ZTj9daEE1f https://t.co/g7wNviyF2j",sports
8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,111,"At least 16 junior varsity hockey players from Illinois were injured in Warsaw, Indiana after an allegedly intoxicated semi-truck driver swerved into the team’s bus, knocking it onto its side. https://t.co/9ze2YauQIm",sports
9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,76,Tom Brady has become the first quarterback to win an NFL game in three different countries outside of the US. https://t.co/urTpiUzliD,sports
10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,30,UFC president Dana White is getting into the slap game https://t.co/87pSvEr7ds,sports
11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,30,The Tampa Bay Buccaneers play the Seattle Seahawks in Munich at the first-ever regular season NFL game played in Germany. https://t.co/e191W0Fs7m https://t.co/y1YrfjrKwx,sports
12,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,18,"Alex Pereira became the undisputed middleweight UFC champion, defeating Israel Adesanya on a technical knock-out. https://t.co/9QIjMAEuOu",sports
13,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,31,Brooklyn Nets owner Joe Tsai says he believes Nets star Kyrie Irving “does not have any beliefs of hate towards Jewish people” https://t.co/CLjP8HXGBu,sports
14,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541103,389979,23,UFC president Dana White is getting into the slap game https://t.co/VpTWyyRpko,sports
15,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,89,Fanta Bility was shot after she was leaving a high school football game with her family. https://t.co/Fdy1I4HwSR,sports
16,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,25,UFC president Dana White is getting into the slap game https://t.co/6y6lH1UBub,sports
17,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,25,"James Brown’s third wife Adrienne died while recovering from plastic surgery in California. A circus singer suspects foul play.

Catch up on CNN's true crime podcast “The James Brown Mystery” with the first four episodes. https://t.co/1zbFddsylr https://t.co/msZWr7SoWB",sports
18,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,30,States are counting votes with key races still in play. Here’s what you need to know: https://t.co/PKXfWYjyMe,sports
19,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,116,"NBA commissioner Adam Silver believes that suspended Brooklyn Nets guard Kyrie Irving is not antisemitic following a meeting between the two earlier in the week, the commissioner told the New York Times https://t.co/fj0eSo3rQ7",sports
20,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,41,The blame game taking shape in GOP circles comes after bullish predictions of a red wave that failed to materialize https://t.co/0Et6nEbOu3,sports
21,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,64,"Iranian officials said they have identified the ""Iran International agent"" arrested Thursday as Elham Afkari, the sister of famous Iranian wrestler Navid Afkari, who was executed two years ago, according to state news agency IRNA https://t.co/VmpL6Y0P0m",sports
22,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,21,"Having previously swum in the world’s coldest waters wearing just his swimming trunks, for his latest challenge Lewis Pugh went to the opposite extreme https://t.co/IxcbaTuBTD",sports
23,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,30,"Suspended Brooklyn Nets star Kyrie Irving reportedly met with NBA commissioner Adam Silver on Tuesday, according to multiple reports https://t.co/gx3qKFMcFz",sports
24,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,32,"Steffan Nero is not your average athlete. 

Born with two visual impairments, he struggled at school, failing to find a place where he felt he fitted in. After discovering visually impaired sports, the Australian started playing blind cricket and found new horizons. https://t.co/CJxolMAzz1",sports
25,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541108,389979,18,Boston Bruins president Cam Neely apologized and said the team “failed” by signing prospect Mitchell Miller. https://t.co/mD2Y9uDQy6,sports
26,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541102,389979,90,"On Monday, Elon Musk got into a dispute with a software engineer on Twitter that ended with the billionaire tweeting “he’s fired,” and the engineer confirming they’d lost access to Twitter’s internal systems https://t.co/mZwCcvG43l https://t.co/j2vHwOYu4S",Technology
27,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,1097,60541102,389979,156,NASA’s Artemis I mission has taken off from Kennedy Space Center. The uncrewed mission will test technology NASA hopes to use to return astronauts to the moon. https://t.co/PACyZSVSld https://t.co/Vmrw59yPC6,Technology
